date,open,high,low,close,volume
2022-05-20,12037.0303,12044.7002,11492.29,11835.6201,5434370000
2022-05-23,11867.0801,12047.8096,11785.7598,12034.2803,4552200000
2022-05-24,11807.7803,11842.8096,11576.1104,11769.8398,4724430000
2022-05-25,11732.4502,12028.8896,11714.2695,11943.9297,4519690000
2022-05-26,11906.8301,12337.7305,11901.8701,12276.79,4672620000
2022-05-27,12421.7998,12682.5801,12405.29,12681.4199,4793900000
2022-05-31,12688.9502,12762.8398,12482.3203,12642.0996,6045500000
2022-06-01,12750.3096,12820.4697,12457.9102,12548.3604,4719900000
2022-06-02,12498.6299,12897.6299,12447.7695,12892.8896,4445840000
2022-06-03,12650.3799,12724.8096,12505.7598,12548.0303,4130040000
2022-06-06,12745.8896,12804.46,12534.5801,12599.6299,4647010000
2022-06-07,12456.4902,12737.2998,12413.5596,12711.6797,4411240000
2022-06-08,12682.8096,12776.6504,12578.5498,12615.1299,4708980000
2022-06-09,12543.3701,12666.4102,12265.8604,12269.7803,5408460000
2022-06-10,12052.5898,12082.6904,11825.3496,11832.8203,5152020000
2022-06-13,11472.1904,11568.6504,11254.1904,11288.3203,5937320000
2022-06-14,11385.1797,11418.2197,11205.9199,11311.6904,4819890000
2022-06-15,11468.1299,11751.29,11346.54,11593.7695,5368500000
2022-06-16,11286.8701,11311.0498,11037.21,11127.5703,5696630000
2022-06-17,11172.6504,11357.9697,11089.9297,11265.9902,7452830000
2022-06-21,11446.9805,11638.4697,11446.9805,11546.7598,5226260000
2022-06-22,11427.7402,11708.0801,11423.2002,11527.71,5238180000
2022-06-23,11622.0898,11729.6201,11515.4805,11697.6797,5258200000
2022-06-24,11826.9502,12112.8203,11812.1797,12105.8496,9468130000
2022-06-27,12157.9297,12175.9805,11965.6699,12008.2402,5047860000
2022-06-28,12021.3398,12133.8701,11633.1299,11637.7695,5433220000
2022-06-29,11619.0098,11710.21,11537.7197,11658.2598,5650860000
2022-06-30,11532.3203,11650.96,11322.8604,11503.7197,5654520000
2022-07-01,11472.6299,11592.8496,11378.6299,11585.6797,4865730000
2022-07-05,11419.3398,11781.7402,11366.0703,11779.9004,5053570000
2022-07-06,11807.0801,11941.3096,11727.3604,11852.5898,4851170000
2022-07-07,11913.7305,12137.71,11897.5098,12109.0498,4685050000
2022-07-08,11977.9502,12179.3203,11956.0303,12125.6904,4526570000
2022-07-11,12008.7598,12026.0596,11830.8896,11860.2803,4362910000
2022-07-12,11926.8398,11990.4404,11684.0195,11744.9902,4317860000
2022-07-13,11523.9102,11819.6904,11498.96,11728.5303,4433060000
2022-07-14,11637.1797,11801.1104,11488.2695,11768.4004,4481070000
2022-07-15,11896.1504,11987.5195,11828.1299,11983.6201,4369060000
2022-07-18,12089.6797,12156.0898,11836.5195,11877.5,5057920000
2022-07-19,12046.6904,12258.3701,11967.9199,12249.4199,5302740000
2022-07-20,12269.0703,12488.3896,12232.2002,12439.6797,5467080000
2022-07-21,12466.1299,12620.5,12351.4199,12619.4102,4680930000
2022-07-22,12575.7598,12662.8604,12322.8203,12396.4697,4721880000
2022-07-25,12391.21,12415.5898,12244.4004,12328.4102,4346520000
2022-07-26,12248.21,12259.0098,12051.21,12086.9004,4349760000
2022-07-27,12299.3398,12660.7695,12256.9404,12601.4697,4588480000
2022-07-28,12580.6104,12741.8301,12433.5498,12717.8701,4924950000
2022-07-29,12784.2002,12986.6396,12726.25,12947.9697,4907410000
2022-08-01,12877.04,13084.6104,12833.1602,12940.7803,4396390000
2022-08-02,12853.04,13073.2695,12809.0098,12901.5996,4792140000
2022-08-03,12983.5801,13289.1904,12974.8496,13253.2598,5667990000
2022-08-04,13253.7695,13326.7197,13170.4404,13311.04,5451470000
2022-08-05,13107.4502,13286.0195,13070.3604,13207.6904,4911300000
2022-08-08,13227.0898,13394.54,13103.7998,13159.1602,5238600000
2022-08-09,13064.2402,13095.7002,12945.5996,13008.1699,5307340000
2022-08-10,13330.6602,13386.8496,13220.0498,13378.3203,5196210000
2022-08-11,13471.0303,13555.3799,13271.3496,13291.9902,5815960000
2022-08-12,13384.6504,13565.8701,13341.6504,13565.8701,4782610000
2022-08-15,13529.6602,13685.6504,13524.5303,13667.1797,4476040000
2022-08-16,13617.6602,13720.9102,13508.4697,13635.21,5028410000
2022-08-17,13499.2402,13591.5801,13389.8203,13470.8604,5229520000
2022-08-18,13474.2402,13553.2803,13405.7402,13505.9902,4724350000
2022-08-19,13370.25,13402.6104,13210.8203,13242.9004,4628170000
2022-08-22,13056.3896,13073.0703,12859.8203,12890.54,4270980000
2022-08-23,12885.2803,13000.71,12852.7002,12881.79,3836180000
2022-08-24,12876.2305,12995.1396,12843.5801,12917.8604,3917170000
2022-08-25,12984.7402,13146.8398,12951.6104,13143.5801,4323470000
